,Bills Summary By Deparment vrs Service,
From :,,Monday 02 October 2017
To :,,Sunday 31 December 2017
,,Corporate,Health Insurance,Private,Total 
Laboratory,24HR URINE MICRO ALBUMIN,0,1,0,1
,AFB-XPERT PANEL BY GENEXPERT (SPUTUM),0,0,1,1
,BF FOR MPS,107,8,2,117
,BLOOD GROUPING,165,1,2,168
,BUE & CREATININE,157,5,3,165
,CARDIAC ENZYMES,0,1,0,1
,CHOLESTEROL,1,0,0,1
,ESR,2,2,1,5
,FBC,19,17,5,41
,FBC BF FOR MPS,50,36,9,95
,FBC ESR,3,0,0,3
,G6PD (RBC),166,0,1,167
,GLUCOSE FASTING (FBS),111,3,1,115
,GLUCOSE RANDOM (RBS),67,6,3,76
,GLYCOSYLATED (HBAIC),1,3,0,4
,HB,109,2,0,111
,HB BF,1,0,0,1
,HB ELECTROPHORESIS,49,1,0,50
,HBSAG (COMF + RAPID),4,0,0,4
,HBsAg (Comf + Rapid),105,0,0,105
,HELICOBACTER PYLORI STOOL,0,3,0,3
,,Corporate,Health Insurance,Private,Total 
Laboratory,HEP. B S ANTIGEN TEST,1,0,0,1
,HEPATITIS B E ANTIGEN TEST,1,0,0,1
,HEPATITIS B S ANTIBODY TEST,15,0,0,15
,HEPATITIS B S ANTIGEN TEST,48,1,1,50
,HEPATITIS C IgG,17,0,0,17
,HEPATITIS C IgM,1,0,0,1
,HEPATITIS C SCREEN TEST,157,1,1,159
,"HERPES 1&2-IGG, IGM",1,0,0,1
,LIPID PROFILE,153,8,2,163
,LIVER FUNCTION TEST,24,4,4,32
,PLATELET COUNT,1,0,0,1
,PREGNANCY TEST URINE,7,6,0,13
,PROLACTIN,1,0,0,1
,PSA,40,1,1,42
,PSA (TOTAL),1,0,0,1
,RANDOM URINE SODIUM,1,0,0,1
,SERUM LIPASE,0,0,1,1
,SICKLING,152,0,0,152
,SPUTUM C/S,0,0,1,1
,STOOL OCCULT BLOOD,46,2,1,49
,STOOL R/E,173,1,1,175
,,,Corporate,Health Insurance,Private,Total 
Laboratory,,STOOL R/E & C/S,0,1,1,2
,,STOOL/FECAL CAL PROTECTIN,0,0,1,1
,,THYROID FUNCTION TEST,0,2,0,2
,,TOTAL CHOLESTEROL,1,0,0,1
,,TOTAL IgA,0,0,1,1
,,TROPONIN I,0,1,0,1
,,TTG - IgA,0,0,1,1
,,URIC ACID/URATE,1,1,0,2
,,URINE C/S,0,0,1,1
,,URINE MICRO ALBUMIN,0,1,0,1
,,URINE R/E & CULTURE/SENTIVITY,0,1,0,1
,,URINE ROUTINE EXAM.,178,19,6,203
,,WIDAL SCREEN,0,9,2,11
,,WIDAL TITRE,1,5,3,9
,Total,,2138,153,57,2348
Total category,,,2138,153,57,2348
